codice_edizione,data_inizio,data_fine,n_partecipanti,corso
ED2020041,2020-09-01,2021-04-01,15,AT041
ED2020042,2020-12-01,2021-07-01,19,AT042
ED2020043,2020-10-01,2021-06-01,20,AT043
ED2020044,2020-11-01,2021-06-01,11,AT044
ED2020045,2020-11-01,2021-05-01,19,AT045
ED2020046,2020-11-01,2021-06-01,10,AT046
ED2021047,2021-01-01,2021-09-01,11,AT047
ED2021048,2021-01-01,2021-09-01,17,AT048
ED2021049,2021-01-01,2021-06-01,17,AT049
ED2020050,2020-12-01,2021-05-01,20,AT050
ED2020051,2020-10-01,2021-05-01,13,AT051
ED2020052,2020-12-01,2021-08-01,16,AT052
ED2020053,2020-11-01,2021-07-01,17,AT053
ED2020054,2020-12-01,2021-06-01,12,AT054
ED2020055,2020-10-01,2021-05-01,17,AT055
ED2020056,2020-09-01,2021-05-01,19,AT056
ED2021057,2021-01-01,2021-09-01,12,AT057
ED2020058,2020-09-01,2021-02-01,11,AT058
ED2020059,2020-09-01,2021-05-01,20,AT059
ED2020060,2020-09-01,2021-03-01,10,AT060
ED2020061,2020-11-01,2021-07-01,10,AT061
ED2020062,2020-09-01,2021-03-01,10,AT062
ED2020063,2020-10-01,2021-02-01,11,AT063
ED2020064,2020-12-01,2021-06-01,16,AT064
ED2020065,2020-09-01,2021-02-01,15,AT065
ED2021066,2021-01-01,2021-10-01,16,AT066
ED2020067,2020-09-01,2021-05-01,17,AT067
ED2020068,2020-10-01,2021-02-01,15,AT068
ED2020069,2020-11-01,2021-06-01,11,AT069
ED2020070,2020-09-01,2021-01-01,19,AT070
ED2020071,2020-11-01,2021-04-01,19,AT071
ED2020072,2020-11-01,2021-05-01,16,AT072
ED2020073,2020-12-01,2021-05-01,17,AT073
ED2020074,2020-11-01,2021-05-01,11,AT074
ED2020075,2020-10-01,2021-05-01,10,AT075
ED2021076,2021-01-01,2021-09-01,20,AT076
ED2020077,2020-11-01,2021-06-01,15,AT077
ED2020078,2020-10-01,2021-02-01,17,AT078
ED2020079,2020-09-01,2021-03-01,18,AT079
ED2020080,2020-09-01,2021-01-01,13,AT080
ED2021081,2021-01-01,2021-06-01,19,AT081
ED2020082,2020-11-01,2021-03-01,12,AT083
ED2021083,2021-11-01,2022-05-01,12,AT001
ED2021084,2021-12-01,2022-06-01,15,AT002
ED2021085,2021-12-01,2022-08-01,18,AT003
ED2021086,2021-09-01,2022-05-01,12,AT004
ED2021087,2021-10-01,2022-03-01,17,AT005
ED2021088,2021-10-01,2022-03-01,15,AT006
ED2021089,2021-09-01,2022-02-01,20,AT007
ED2022090,2022-01-01,2022-10-01,12,AT008
ED2021091,2021-09-01,2022-03-01,12,AT009
ED2021092,2021-12-01,2022-05-01,13,AT010
ED2021093,2021-09-01,2022-05-01,11,AT011
ED2022094,2022-01-01,2022-06-01,13,AT012
ED2021095,2021-09-01,2022-04-01,14,AT013
ED2022096,2022-01-01,2022-08-01,13,AT014
ED2021097,2021-10-01,2022-03-01,20,AT015
ED2021098,2021-10-01,2022-04-01,14,AT016
ED2022099,2022-01-01,2022-09-01,17,AT017
ED2021100,2021-12-01,2022-04-01,14,AT018
ED2021101,2021-12-01,2022-07-01,16,AT019
ED2021102,2021-09-01,2022-04-01,13,AT020
ED2021103,2021-12-01,2022-08-01,13,AT021
ED2021104,2021-09-01,2022-04-01,11,AT022
ED2022105,2022-01-01,2022-09-01,16,AT023
ED2021106,2021-11-01,2022-04-01,14,AT024
ED2021107,2021-12-01,2022-05-01,19,AT025
ED2021108,2021-10-01,2022-04-01,19,AT026
ED2021109,2021-12-01,2022-04-01,10,AT027
ED2021110,2021-09-01,2022-05-01,15,AT028
ED2022111,2022-01-01,2022-09-01,12,AT029
ED2021112,2021-09-01,2022-01-01,13,AT030
ED2021113,2021-09-01,2022-02-01,15,AT031
ED2022114,2022-01-01,2022-07-01,15,AT032
ED2021115,2021-11-01,2022-04-01,15,AT033
ED2022116,2022-01-01,2022-06-01,19,AT034
ED2021117,2021-11-01,2022-04-01,12,AT035
ED2021118,2021-09-01,2022-01-01,20,AT036
ED2021119,2021-11-01,2022-06-01,15,AT037
ED2021120,2021-10-01,2022-02-01,16,AT038
ED2021121,2021-12-01,2022-06-01,18,AT039
ED2021122,2021-12-01,2022-05-01,17,AT040
ED2021123,2021-10-01,2022-02-01,11,AT041
ED2021124,2021-11-01,2022-06-01,12,AT042
ED2021125,2021-11-01,2022-07-01,13,AT043
ED2022126,2022-01-01,2022-06-01,16,AT044
ED2021127,2021-09-01,2022-02-01,19,AT045
ED2021128,2021-12-01,2022-08-01,18,AT046
ED2021129,2021-09-01,2022-01-01,17,AT047
ED2021130,2021-10-01,2022-06-01,13,AT048
ED2022131,2022-01-01,2022-07-01,19,AT049
ED2022132,2022-01-01,2022-08-01,18,AT050
ED2022133,2022-01-01,2022-07-01,11,AT051
ED2021134,2021-12-01,2022-07-01,14,AT052
ED2021135,2021-09-01,2022-05-01,15,AT053
ED2021136,2021-11-01,2022-03-01,13,AT054
ED2021137,2021-09-01,2022-02-01,18,AT055
ED2022138,2022-01-01,2022-06-01,17,AT056
ED2021139,2021-10-01,2022-04-01,12,AT057
ED2021140,2021-10-01,2022-04-01,19,AT058
ED2021141,2021-10-01,2022-05-01,17,AT059
ED2021142,2021-09-01,2022-01-01,15,AT060
ED2022143,2022-01-01,2022-10-01,17,AT061
ED2021144,2021-12-01,2022-08-01,12,AT062
ED2021145,2021-09-01,2022-03-01,10,AT063
ED2021146,2021-09-01,2022-02-01,20,AT064
ED2021147,2021-11-01,2022-07-01,12,AT065
ED2021148,2021-11-01,2022-06-01,13,AT066
ED2021149,2021-12-01,2022-08-01,15,AT067
ED2021150,2021-12-01,2022-08-01,19,AT068
ED2022151,2022-01-01,2022-10-01,13,AT069
ED2021152,2021-10-01,2022-04-01,19,AT070
ED2021153,2021-10-01,2022-06-01,19,AT071
ED2021154,2021-10-01,2022-06-01,10,AT072
ED2021155,2021-09-01,2022-01-01,13,AT073
ED2022156,2022-01-01,2022-06-01,10,AT074
ED2022157,2022-01-01,2022-07-01,13,AT075
ED2021158,2021-10-01,2022-02-01,13,AT076
ED2021159,2021-12-01,2022-07-01,12,AT077
ED2021160,2021-10-01,2022-03-01,15,AT078
ED2021161,2021-12-01,2022-07-01,18,AT079
ED2021162,2021-11-01,2022-07-01,10,AT080
ED2021163,2021-10-01,2022-06-01,20,AT081
ED2021164,2021-11-01,2022-03-01,12,AT083
ED2023165,2023-01-01,2023-06-01,15,AT001
ED2022166,2022-09-01,2023-05-01,11,AT002
ED2022167,2022-10-01,2023-02-01,14,AT003
ED2023168,2023-01-01,2023-08-01,19,AT004
ED2022169,2022-12-01,2023-06-01,20,AT005
ED2022170,2022-10-01,2023-03-01,17,AT006
ED2023171,2023-01-01,2023-06-01,11,AT007
ED2022172,2022-09-01,2023-02-01,12,AT008
ED2023173,2023-01-01,2023-10-01,13,AT009
ED2022174,2022-09-01,2023-01-01,12,AT010
ED2022175,2022-12-01,2023-04-01,14,AT011
ED2022176,2022-11-01,2023-06-01,12,AT012
ED2022177,2022-09-01,2023-02-01,12,AT013
ED2023178,2023-01-01,2023-10-01,17,AT014
ED2023179,2023-01-01,2023-07-01,10,AT015
ED2022180,2022-11-01,2023-04-01,16,AT016
ED2022181,2022-09-01,2023-03-01,14,AT017
ED2022182,2022-10-01,2023-05-01,13,AT018
ED2022183,2022-10-01,2023-05-01,11,AT019
ED2022184,2022-09-01,2023-02-01,14,AT020
ED2022185,2022-11-01,2023-04-01,20,AT021
ED2023186,2023-01-01,2023-07-01,18,AT022
ED2022187,2022-10-01,2023-06-01,17,AT023
ED2022188,2022-09-01,2023-05-01,18,AT024
ED2022189,2022-11-01,2023-07-01,18,AT025
ED2022190,2022-11-01,2023-06-01,17,AT026
ED2022191,2022-11-01,2023-04-01,14,AT027
ED2022192,2022-11-01,2023-06-01,11,AT028
ED2022193,2022-09-01,2023-01-01,11,AT029
ED2022194,2022-10-01,2023-05-01,15,AT030
ED2022195,2022-12-01,2023-05-01,11,AT031
ED2022196,2022-10-01,2023-05-01,13,AT032
ED2022197,2022-09-01,2023-03-01,12,AT033
ED2022198,2022-09-01,2023-03-01,15,AT034
ED2023199,2023-01-01,2023-07-01,11,AT035
ED2022200,2022-12-01,2023-04-01,20,AT036
ED2022201,2022-11-01,2023-04-01,11,AT037
ED2022202,2022-10-01,2023-04-01,10,AT038
ED2022203,2022-10-01,2023-03-01,13,AT039
ED2023204,2023-01-01,2023-08-01,14,AT040
ED2022205,2022-09-01,2023-02-01,11,AT041
ED2022206,2022-09-01,2023-03-01,14,AT042
ED2022207,2022-10-01,2023-04-01,20,AT043
ED2022208,2022-10-01,2023-04-01,17,AT044
ED2022209,2022-09-01,2023-04-01,19,AT045
ED2022210,2022-12-01,2023-05-01,11,AT046
ED2023211,2023-01-01,2023-07-01,19,AT047
ED2022212,2022-09-01,2023-05-01,18,AT048
ED2022213,2022-12-01,2023-07-01,13,AT049
ED2022214,2022-10-01,2023-05-01,13,AT050
ED2022215,2022-12-01,2023-04-01,19,AT051
ED2023216,2023-01-01,2023-09-01,13,AT052
ED2022217,2022-09-01,2023-05-01,15,AT053
ED2022218,2022-11-01,2023-05-01,16,AT054
ED2022219,2022-11-01,2023-06-01,10,AT055
ED2022220,2022-11-01,2023-03-01,10,AT056
ED2022221,2022-12-01,2023-07-01,17,AT057
ED2022222,2022-12-01,2023-04-01,16,AT058
ED2022223,2022-11-01,2023-04-01,15,AT059
ED2022224,2022-11-01,2023-07-01,13,AT060
ED2022225,2022-11-01,2023-04-01,10,AT061
ED2023226,2023-01-01,2023-07-01,18,AT062
ED2022227,2022-09-01,2023-05-01,15,AT063
ED2022228,2022-10-01,2023-05-01,15,AT064
ED2022229,2022-10-01,2023-04-01,12,AT065
ED2023230,2023-01-01,2023-09-01,10,AT066
ED2022231,2022-09-01,2023-05-01,12,AT067
ED2023232,2023-01-01,2023-10-01,17,AT068
ED2022233,2022-10-01,2023-05-01,14,AT069
ED2022234,2022-09-01,2023-02-01,12,AT070
ED2022235,2022-10-01,2023-06-01,18,AT071
ED2022236,2022-12-01,2023-06-01,13,AT072
ED2022237,2022-09-01,2023-05-01,14,AT073
ED2022238,2022-10-01,2023-04-01,13,AT074
ED2023239,2023-01-01,2023-09-01,14,AT075
ED2022240,2022-10-01,2023-02-01,12,AT076
ED2023241,2023-01-01,2023-08-01,18,AT077
ED2022242,2022-12-01,2023-07-01,15,AT078
ED2022243,2022-11-01,2023-07-01,20,AT079
ED2022244,2022-10-01,2023-05-01,20,AT080
ED2022245,2022-09-01,2023-02-01,14,AT081
ED2022246,2022-11-01,2023-04-01,11,AT083
ED2023247,2023-09-01,2024-05-01,12,AT001
ED2023248,2023-11-01,2024-03-01,14,AT002
ED2023249,2023-10-01,2024-03-01,16,AT003
ED2023250,2023-12-01,2024-07-01,14,AT004
ED2023251,2023-10-01,2024-05-01,16,AT005
ED2023252,2023-12-01,2024-08-01,19,AT006
ED2024253,2024-01-01,2024-07-01,18,AT007
ED2023254,2023-11-01,2024-03-01,18,AT008
ED2023255,2023-10-01,2024-03-01,10,AT009
ED2023256,2023-11-01,2024-03-01,11,AT010
ED2023257,2023-10-01,2024-03-01,14,AT011
ED2023258,2023-12-01,2024-08-01,11,AT012
ED2023259,2023-12-01,2024-04-01,18,AT013
ED2023260,2023-10-01,2024-02-01,20,AT014
ED2024261,2024-01-01,2024-07-01,18,AT015
ED2023262,2023-10-01,2024-06-01,17,AT016
ED2023263,2023-11-01,2024-07-01,14,AT017
ED2023264,2023-10-01,2024-03-01,19,AT018
ED2024265,2024-01-01,2024-06-01,15,AT019
ED2023266,2023-12-01,2024-06-01,16,AT020
ED2023267,2023-09-01,2024-05-01,13,AT021
ED2023268,2023-09-01,2024-04-01,18,AT022
ED2023269,2023-11-01,2024-06-01,12,AT023
ED2023270,2023-11-01,2024-03-01,14,AT024
ED2024271,2024-01-01,2024-06-01,12,AT025
ED2024272,2024-01-01,2024-09-01,11,AT026
ED2024273,2024-01-01,2024-10-01,18,AT027
ED2024274,2024-01-01,2024-06-01,11,AT028
ED2024275,2024-01-01,2024-07-01,14,AT029
ED2024276,2024-01-01,2024-10-01,19,AT030
ED2023277,2023-12-01,2024-06-01,17,AT031
ED2023278,2023-09-01,2024-05-01,19,AT032
ED2023279,2023-11-01,2024-06-01,11,AT033
ED2023280,2023-12-01,2024-08-01,10,AT034
ED2023281,2023-10-01,2024-05-01,16,AT035
ED2023282,2023-12-01,2024-05-01,11,AT036
ED2023283,2023-12-01,2024-04-01,17,AT037
ED2023284,2023-11-01,2024-06-01,17,AT038
ED2023285,2023-09-01,2024-04-01,20,AT039
ED2023286,2023-10-01,2024-03-01,14,AT040
ED2023287,2023-09-01,2024-03-01,14,AT041
ED2024288,2024-01-01,2024-08-01,14,AT042
ED2023289,2023-12-01,2024-04-01,17,AT043
ED2023290,2023-10-01,2024-03-01,18,AT044
ED2024291,2024-01-01,2024-08-01,16,AT045
ED2023292,2023-09-01,2024-03-01,13,AT046
ED2023293,2023-12-01,2024-05-01,17,AT047
ED2024294,2024-01-01,2024-07-01,16,AT048
ED2023295,2023-11-01,2024-05-01,19,AT049
ED2023296,2023-12-01,2024-04-01,20,AT050
ED2024297,2024-01-01,2024-07-01,13,AT051
ED2023298,2023-11-01,2024-03-01,17,AT052
ED2023299,2023-09-01,2024-02-01,18,AT053
ED2023300,2023-11-01,2024-07-01,19,AT054
ED2023301,2023-11-01,2024-04-01,10,AT055
ED2023302,2023-11-01,2024-03-01,19,AT056
ED2023303,2023-11-01,2024-05-01,14,AT057
ED2023304,2023-10-01,2024-02-01,16,AT058
ED2023305,2023-09-01,2024-02-01,13,AT059
ED2024306,2024-01-01,2024-08-01,14,AT060
ED2023307,2023-11-01,2024-03-01,14,AT061
ED2023308,2023-10-01,2024-02-01,19,AT062
ED2023309,2023-09-01,2024-03-01,16,AT063
ED2023310,2023-12-01,2024-04-01,14,AT064
ED2023311,2023-11-01,2024-03-01,15,AT065
ED2024312,2024-01-01,2024-09-01,15,AT066
ED2023313,2023-10-01,2024-02-01,16,AT067
ED2023314,2023-10-01,2024-04-01,11,AT068
ED2024315,2024-01-01,2024-06-01,10,AT069
ED2024316,2024-01-01,2024-08-01,12,AT070
ED2023317,2023-10-01,2024-02-01,10,AT071
ED2023318,2023-10-01,2024-06-01,20,AT072
ED2023319,2023-11-01,2024-04-01,19,AT073
ED2023320,2023-11-01,2024-07-01,19,AT074
ED2023321,2023-10-01,2024-04-01,11,AT075
ED2024322,2024-01-01,2024-09-01,12,AT076
ED2023323,2023-10-01,2024-06-01,15,AT077
ED2023324,2023-09-01,2024-02-01,13,AT078
ED2023325,2023-11-01,2024-06-01,17,AT079
ED2023326,2023-09-01,2024-05-01,14,AT080
ED2023327,2023-11-01,2024-03-01,19,AT081
ED2023328,2023-11-01,2024-03-01,10,AT083
ED2024329,2024-12-01,2025-07-01,20,AT001
ED2024330,2024-12-01,2025-08-01,14,AT002
ED2024331,2024-12-01,2025-04-01,20,AT003
ED2024332,2024-11-01,2025-06-01,10,AT004
ED2025333,2025-01-01,2025-08-01,16,AT005
ED2024334,2024-09-01,2025-01-01,14,AT006
ED2024335,2024-12-01,2025-06-01,16,AT007
ED2024336,2024-12-01,2025-04-01,19,AT008
ED2024337,2024-11-01,2025-04-01,18,AT009
ED2024338,2024-11-01,2025-07-01,20,AT010
ED2025339,2025-01-01,2025-08-01,19,AT011
ED2025340,2025-01-01,2025-10-01,15,AT012
ED2024341,2024-10-01,2025-05-01,18,AT013
ED2024342,2024-10-01,2025-05-01,18,AT014
ED2024343,2024-12-01,2025-06-01,15,AT015
ED2024344,2024-10-01,2025-05-01,10,AT016
ED2024345,2024-10-01,2025-02-01,18,AT017
ED2024346,2024-10-01,2025-03-01,19,AT018
ED2024347,2024-10-01,2025-05-01,20,AT019
ED2025348,2025-01-01,2025-10-01,19,AT020
ED2024349,2024-10-01,2025-02-01,13,AT021
ED2025350,2025-01-01,2025-07-01,12,AT022
ED2024351,2024-12-01,2025-04-01,16,AT023
ED2024352,2024-10-01,2025-02-01,13,AT024
ED2024353,2024-11-01,2025-06-01,15,AT025
ED2025354,2025-01-01,2025-07-01,13,AT026
ED2024355,2024-11-01,2025-05-01,18,AT027
ED2024356,2024-09-01,2025-04-01,11,AT028
ED2024357,2024-11-01,2025-04-01,20,AT029
ED2024358,2024-12-01,2025-06-01,12,AT030
ED2024359,2024-11-01,2025-07-01,11,AT031
ED2024360,2024-09-01,2025-05-01,19,AT032
ED2024361,2024-09-01,2025-01-01,19,AT033
ED2025362,2025-01-01,2025-06-01,12,AT034
ED2024363,2024-09-01,2025-05-01,11,AT035
ED2024364,2024-10-01,2025-06-01,14,AT036
ED2024365,2024-11-01,2025-03-01,17,AT037
ED2024366,2024-12-01,2025-04-01,17,AT038
ED2024367,2024-12-01,2025-05-01,20,AT039
ED2024368,2024-11-01,2025-03-01,20,AT040
ED2024369,2024-10-01,2025-02-01,16,AT041
ED2024370,2024-12-01,2025-04-01,10,AT042
ED2024371,2024-12-01,2025-08-01,17,AT043
ED2024372,2024-12-01,2025-06-01,15,AT044
ED2024373,2024-09-01,2025-02-01,20,AT045
ED2024374,2024-12-01,2025-08-01,18,AT046
ED2024375,2024-09-01,2025-01-01,17,AT047
ED2024376,2024-09-01,2025-02-01,18,AT048
ED2024377,2024-11-01,2025-03-01,13,AT049
ED2024378,2024-09-01,2025-01-01,13,AT050
ED2024379,2024-09-01,2025-03-01,18,AT051
ED2024380,2024-12-01,2025-06-01,20,AT052
ED2024381,2024-12-01,2025-08-01,18,AT053
ED2025382,2025-01-01,2025-07-01,14,AT054
ED2024383,2024-11-01,2025-03-01,18,AT055
ED2025384,2025-01-01,2025-10-01,17,AT056
ED2024385,2024-11-01,2025-04-01,19,AT057
ED2024386,2024-10-01,2025-05-01,10,AT058
ED2024387,2024-11-01,2025-06-01,10,AT059
ED2024388,2024-10-01,2025-02-01,20,AT060
ED2024389,2024-10-01,2025-06-01,16,AT061
ED2024390,2024-12-01,2025-06-01,14,AT062
ED2024391,2024-09-01,2025-05-01,13,AT063
ED2025392,2025-01-01,2025-09-01,10,AT064
ED2024393,2024-09-01,2025-01-01,18,AT065
ED2024394,2024-12-01,2025-08-01,10,AT066
ED2024395,2024-12-01,2025-05-01,13,AT067
ED2024396,2024-10-01,2025-05-01,18,AT068
ED2024397,2024-10-01,2025-02-01,20,AT069
ED2024398,2024-11-01,2025-04-01,18,AT070
ED2025399,2025-01-01,2025-09-01,13,AT071
ED2024400,2024-09-01,2025-01-01,13,AT072
ED2024401,2024-11-01,2025-06-01,20,AT073
ED2025402,2025-01-01,2025-08-01,16,AT074
ED2024403,2024-11-01,2025-04-01,17,AT075
ED2024404,2024-09-01,2025-02-01,18,AT076
ED2024405,2024-09-01,2025-04-01,12,AT077
ED2024406,2024-10-01,2025-05-01,13,AT078
ED2024407,2024-09-01,2025-03-01,12,AT079
ED2024408,2024-11-01,2025-05-01,11,AT080
ED2024409,2024-10-01,2025-04-01,14,AT081
ED2025410,2025-01-01,2025-07-01,17,AT083
