giorno,orario_inizio,orario_fine,campo,codice_edizione
Mercoledì,13:30,15:00,CAMPO039,ED2024355
Lunedì,08:00,09:30,CAMPO024,ED2024356
Martedì,08:00,09:30,CAMPO024,ED2024356
Mercoledì,08:00,09:30,CAMPO024,ED2024356
Giovedì,09:00,10:30,CAMPO015,ED2024357
Venerdì,09:00,10:30,CAMPO015,ED2024357
Giovedì,09:00,10:30,CAMPO032,ED2025358
Venerdì,09:00,10:30,CAMPO032,ED2025358
Giovedì,10:30,12:00,CAMPO006,ED2025359
Venerdì,10:30,12:00,CAMPO006,ED2025359
Giovedì,12:00,13:30,CAMPO028,ED2024360
Venerdì,12:00,13:30,CAMPO028,ED2024360
Lunedì,15:30,17:00,CAMPO003,ED2025361
Martedì,15:30,17:00,CAMPO003,ED2025361
Mercoledì,15:30,17:00,CAMPO003,ED2025361
Giovedì,08:00,09:30,CAMPO003,ED2024362
Venerdì,08:00,09:30,CAMPO003,ED2024362
Giovedì,09:30,11:00,CAMPO003,ED2024363
Venerdì,09:30,11:00,CAMPO003,ED2024363
Giovedì,10:30,12:00,CAMPO020,ED2024364
Venerdì,10:30,12:00,CAMPO020,ED2024364
Lunedì,15:00,16:30,CAMPO026,ED2024365
Martedì,15:00,16:30,CAMPO026,ED2024365
Mercoledì,15:00,16:30,CAMPO026,ED2024365
Giovedì,12:00,13:30,CAMPO020,ED2024366
Venerdì,12:00,13:30,CAMPO020,ED2024366
Giovedì,11:00,12:30,CAMPO021,ED2024367
Venerdì,11:00,12:30,CAMPO021,ED2024367
Giovedì,13:30,15:00,CAMPO002,ED2024368
Venerdì,13:30,15:00,CAMPO002,ED2024368
Giovedì,12:30,14:00,CAMPO021,ED2024369
Venerdì,12:30,14:00,CAMPO021,ED2024369
Giovedì,14:00,15:30,CAMPO021,ED2024370
Venerdì,14:00,15:30,CAMPO021,ED2024370
Giovedì,15:30,17:00,CAMPO021,ED2024371
Venerdì,15:30,17:00,CAMPO021,ED2024371
Giovedì,15:00,16:30,CAMPO022,ED2024372
Venerdì,15:00,16:30,CAMPO022,ED2024372
Giovedì,16:30,18:00,CAMPO002,ED2024373
Venerdì,16:30,18:00,CAMPO002,ED2024373
Giovedì,07:30,09:00,CAMPO038,ED2025378
Venerdì,07:30,09:00,CAMPO038,ED2025378
Giovedì,09:00,10:30,CAMPO038,ED2024379
Venerdì,09:00,10:30,CAMPO038,ED2024379
Lunedì,09:30,11:00,CAMPO009,ED2024380
Martedì,09:30,11:00,CAMPO009,ED2024380
Mercoledì,09:30,11:00,CAMPO009,ED2024380
Giovedì,13:30,15:00,CAMPO031,ED2024381
Venerdì,13:30,15:00,CAMPO031,ED2024381
Lunedì,11:00,12:30,CAMPO009,ED2024382
Martedì,11:00,12:30,CAMPO009,ED2024382
Mercoledì,11:00,12:30,CAMPO009,ED2024382
Giovedì,15:00,16:30,CAMPO031,ED2024383
Venerdì,15:00,16:30,CAMPO031,ED2024383
Lunedì,12:30,14:00,CAMPO009,ED2024384
Martedì,12:30,14:00,CAMPO009,ED2024384
Mercoledì,12:30,14:00,CAMPO009,ED2024384
Lunedì,14:00,15:30,CAMPO009,ED2024385
Martedì,14:00,15:30,CAMPO009,ED2024385
Mercoledì,14:00,15:30,CAMPO009,ED2024385
Lunedì,15:30,17:00,CAMPO009,ED2024386
Martedì,15:30,17:00,CAMPO009,ED2024386
Mercoledì,15:30,17:00,CAMPO009,ED2024386
Giovedì,08:00,09:30,CAMPO035,ED2024391
Venerdì,08:00,09:30,CAMPO035,ED2024391
Giovedì,09:30,11:00,CAMPO035,ED2025392
Venerdì,09:30,11:00,CAMPO035,ED2025392
Giovedì,10:30,12:00,CAMPO026,ED2024399
Venerdì,10:30,12:00,CAMPO026,ED2024399
Giovedì,12:00,13:30,CAMPO026,ED2024400
Venerdì,12:00,13:30,CAMPO026,ED2024400
Giovedì,13:30,15:00,CAMPO026,ED2024401
Venerdì,13:30,15:00,CAMPO026,ED2024401
Giovedì,15:00,16:30,CAMPO026,ED2024402
Venerdì,15:00,16:30,CAMPO026,ED2024402
Giovedì,11:00,12:30,CAMPO016,ED2024403
Venerdì,11:00,12:30,CAMPO016,ED2024403
Giovedì,12:30,14:00,CAMPO016,ED2025404
Venerdì,12:30,14:00,CAMPO016,ED2025404
Giovedì,14:00,15:30,CAMPO016,ED2025405
Venerdì,14:00,15:30,CAMPO016,ED2025405
Giovedì,15:30,17:00,CAMPO016,ED2024412
Venerdì,15:30,17:00,CAMPO016,ED2024412
